year,grp,Freq,,,,,,,,,,,,,,
2006,0F,12,,,,,,,,,,,,,,
2007,0F,9,,,,,,,,,,,,,,
2008,0F,11,,,,,,,,,,,,,,
2009,0F,12,,,,,,,,,,,,,,
2010,0F,16,,,,,,,,,,,,,,
2011,0F,10,,,,,,,,,,,,,,
2012,0F,8,,,,,,,,,,,,,,
2013,0F,11,,,,,,,,,,,,,,
2014,0F,4,,,,,,,,,,,,,,
2006,0M,67,,,,,,,,,,,,,,
2007,0M,58,,,,,,,,,,,,,,
2008,0M,47,,,,,,,,,,,,,,
2009,0M,55,,,,,,,,,,,,,,
2010,0M,54,,,,,,,,,,,,,,
2011,0M,41,,,,,,,,,,,,,,
2012,0M,34,,,,,,,,,,,,,,
2013,0M,32,,,,,,,,,,,,,,
2014,0M,37,,,,,,,,,,,,,,
2006,1F,67,,,,,,,,,,,,,,
2007,1F,74,,,,,,,,,,,,,,
2008,1F,71,,,,,,,,,,,,,,
2009,1F,56,,,,,,,,,,,,,,
2010,1F,56,,,,,,,,,,,,,,
2011,1F,66,,,,,,,,,,,,,,
2012,1F,47,,,,,,,,,,,,,,
2013,1F,54,,,,,,,,,,,,,,
2014,1F,47,,,,,,,,,,,,,,
2006,1M,588,,,,,,,,,,,,,,
2007,1M,608,,,,,,,,,,,,,,
2008,1M,562,,,,,,,,,,,,,,
2009,1M,518,,,,,,,,,,,,,,
2010,1M,613,,,,,,,,,,,,,,
2011,1M,585,,,,,,,,,,,,,,
2012,1M,470,,,,,,,,,,,,,,
2013,1M,515,,,,,,,,,,,,,,
2014,1M,505,,,,,,,,,,,,,,
2006,2F,80,,,,,,,,,,,,,,
2007,2F,105,,,,,,,,,,,,,,
2008,2F,144,,,,,,,,,,,,,,
2009,2F,155,,,,,,,,,,,,,,
2010,2F,173,,,,,,,,,,,,,,
2011,2F,176,,,,,,,,,,,,,,
2012,2F,176,,,,,,,,,,,,,,
2013,2F,202,,,,,,,,,,,,,,
2014,2F,150,,,,,,,,,,,,,,
2006,2M,675,,,,,,,,,,,,,,
2007,2M,617,,,,,,,,,,,,,,
2008,2M,726,,,,,,,,,,,,,,
2009,2M,760,,,,,,,,,,,,,,
2010,2M,945,,,,,,,,,,,,,,
2011,2M,922,,,,,,,,,,,,,,
2012,2M,891,,,,,,,,,,,,,,
2013,2M,1019,,,,,,,,,,,,,,
2014,2M,894,,,,,,,,,,,,,,
2006,3F,50,,,,,,,,,,,,,,
2007,3F,60,,,,,,,,,,,,,,
2008,3F,73,,,,,,,,,,,,,,
2009,3F,60,,,,,,,,,,,,,,
2010,3F,81,,,,,,,,,,,,,,
2011,3F,74,,,,,,,,,,,,,,
2012,3F,94,,,,,,,,,,,,,,
2013,3F,102,,,,,,,,,,,,,,
2014,3F,80,,,,,,,,,,,,,,
2006,3M,365,,,,,,,,,,,,,,
2007,3M,399,,,,,,,,,,,,,,
2008,3M,404,,,,,,,,,,,,,,
2009,3M,455,,,,,,,,,,,,,,
2010,3M,486,,,,,,,,,,,,,,
2011,3M,504,,,,,,,,,,,,,,
2012,3M,589,,,,,,,,,,,,,,
2013,3M,611,,,,,,,,,,,,,,
2014,3M,527,,,,,,,,,,,,,,
2006,4F,44,,,,,,,,,,,,,,
2007,4F,35,,,,,,,,,,,,,,
2008,4F,36,,,,,,,,,,,,,,
2009,4F,36,,,,,,,,,,,,,,
2010,4F,44,,,,,,,,,,,,,,
2011,4F,43,,,,,,,,,,,,,,
2012,4F,47,,,,,,,,,,,,,,
2013,4F,61,,,,,,,,,,,,,,
2014,4F,34,,,,,,,,,,,,,,
2006,4M,354,,,,,,,,,,,,,,
2007,4M,348,,,,,,,,,,,,,,
2008,4M,338,,,,,,,,,,,,,,
2009,4M,306,,,,,,,,,,,,,,
2010,4M,429,,,,,,,,,,,,,,
2011,4M,365,,,,,,,,,,,,,,
2012,4M,369,,,,,,,,,,,,,,
2013,4M,361,,,,,,,,,,,,,,
2014,4M,330,,,,,,,,,,,,,,
2006,5F,23,,,,,,,,,,,,,,
2007,5F,30,,,,,,,,,,,,,,
2008,5F,28,,,,,,,,,,,,,,
2009,5F,24,,,,,,,,,,,,,,
2010,5F,33,,,,,,,,,,,,,,
2011,5F,34,,,,,,,,,,,,,,
2012,5F,28,,,,,,,,,,,,,,
2013,5F,31,,,,,,,,,,,,,,
2014,5F,34,,,,,,,,,,,,,,
2006,5M,190,,,,,,,,,,,,,,
2007,5M,187,,,,,,,,,,,,,,
2008,5M,197,,,,,,,,,,,,,,
2009,5M,176,,,,,,,,,,,,,,
2010,5M,270,,,,,,,,,,,,,,
2011,5M,223,,,,,,,,,,,,,,
2012,5M,252,,,,,,,,,,,,,,
