CASE_YR,VEH_TYP,AGE,SEX
2014,Bike,99,M
2009,Bike,97,M
2012,Bike,94,M
2011,Bike,93,M
2012,Bike,93,M
2013,Bike,89,M
2013,Bike,89,M
2006,Bike,88,M
2012,Bike,88,M
2014,Bike,88,M
2014,Bike,88,M
2011,Bike,88,M
2010,Bike,87,M
2014,Bike,87,M
2011,Bike,87,M
2013,Bike,87,M
2009,Bike,87,M
2012,Bike,87,M
2006,Bike,87,M
2010,Bike,86,M
2009,Bike,86,M
2007,Bike,86,M
2014,Bike,86,M
2008,Bike,86,F
2012,Bike,86,M
2007,Bike,85,M
2006,Bike,85,M
2012,Bike,85,M
2010,Bike,85,M
2013,Bike,85,M
2013,Bike,85,M
2010,Bike,84,F
2012,Bike,84,F
2006,Bike,83,M
2009,Bike,83,M
2012,Bike,83,M
2014,Bike,83,M
2010,Bike,83,M
2006,Bike,83,M
2013,Bike,83,M
2013,Bike,83,M
2009,Bike,83,M
2009,Bike,83,F
2011,Bike,82,M
2010,Bike,82,M
2010,Bike,82,M
2014,Bike,82,M
2014,Bike,82,M
2014,Bike,82,M
2011,Bike,81,M
2013,Bike,81,M
2010,Bike,81,M
2007,Bike,81,M
2007,Bike,81,M
2012,Bike,81,M
2010,Bike,81,M
2007,Bike,81,M
2007,Bike,81,M
2012,Bike,81,M
2008,Bike,81,M
2012,Bike,80,M
2010,Bike,80,M
2010,Bike,80,M
2010,Bike,80,M
2014,Bike,80,M
2009,Bike,80,M
2013,Bike,80,M
2008,Bike,80,M
2011,Bike,80,F
2007,Bike,80,M
2011,Bike,80,M
2010,Bike,79,M
2009,Bike,79,M
2010,Bike,79,M
2007,Bike,79,M
2006,Bike,79,M
2014,Bike,79,M
2014,Bike,79,M
2014,Bike,79,F
2013,Bike,79,M
2013,Bike,79,M
2011,Bike,79,M
2011,Bike,79,M
2013,Bike,79,M
2012,Bike,79,M
2006,Bike,79,M
2012,Bike,79,M
2012,Bike,79,M
2008,Bike,79,M
2009,Bike,78,F
2011,Bike,78,M
2012,Bike,78,M
2007,Bike,78,M
2006,Bike,78,M
2014,Bike,78,M
2014,Bike,78,M
2014,Bike,78,M
2014,Bike,78,M
2014,Bike,78,M
2007,Bike,78,M
2013,Bike,78,F
2006,Bike,78,M
2013,Bike,78,M
2008,Bike,78,M
2006,Bike,78,M
2011,Bike,78,M
2013,Bike,78,M
2009,Bike,78,M
2008,Bike,78,M
2012,Bike,78,M
2008,Bike,78,M
2012,Bike,78,M
2012,Bike,77,M
2009,Bike,77,M
2012,Bike,77,M
2013,Bike,77,M
2007,Bike,77,M
2009,Bike,77,M
2006,Bike,77,M
2009,Bike,77,M
2009,Bike,77,M
2012,Bike,77,M
2014,Bike,77,M
2014,Bike,77,M
2014,Bike,77,M
2014,Bike,77,M
2008,Bike,77,M
2013,Bike,77,M
2008,Bike,77,M
2011,Bike,77,M
2007,Bike,77,M
2008,Bike,77,M
2012,Bike,77,F
2013,Bike,77,F
2012,Bike,77,F
2012,Bike,77,M
2010,Bike,77,M
2013,Bike,77,M
2012,Bike,77,M
2010,Bike,77,M
